Source Page,Link,Status,Link Text
"https://amigos.org","http://www.twitter.com/@AmigosLibServ",520,""
"https://amigos.org/services/continuing-education","https://mycourses.amigos.org/bbb-requirements",403,"BigBlueButton's detailed requirements page"
"https://amigos.org/services/association-management","http://www.oklibs.org/",403,"Oklahoma Library Association"
"https://amigos.org/news/membership-and-people","https://www.molib.org/Annual-Conference",404,"Missouri Library Association (MLA) Annual Conference"
"https://amigos.org/news/products-and-partnerships","https://ideas.demco.com/blog/school-library-annual-planning/",403,"Annual Planning for School Librarians"
"https://amigos.org/services/continuing-education/free-courses","https://amigos.org/services/continuing-education/hive-tips-and-tricks-using-generative-ai",403,"The Hive: Tips and Tricks for Using Generative AI"
"https://amigos.org/services/continuing-education/free-courses","https://amigos.org/services/continuing-education/discover-hyku-empowering-libraries-open-source-repository-solutions",403,"Discover Hyku: Empowering Libraries with Open-Source Repository Solutions"
"https://amigos.org/services/job-bank/music-cataloging-and-subject-specialist-rice-university-houston-tx","https://knowledgecafe.rice.edu/fair-labor-standards-act-flsa",406,"FLSA"
"https://amigos.org/services/job-bank/music-cataloging-and-subject-specialist-rice-university-houston-tx","https://knowledgecafe.rice.edu/benefits",406,"https://knowledgecafe.rice.edu/benefits"
"https://amigos.org/services/job-bank/institutional-repository-and-business-librarian-university-missouri-st-louis-mo","https://erecruit.umsystem.edu/psc/tamext/STLOU/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&SiteId=11&FOCUS=Applicant&SiteId=11&JobOpeningId=58568&PostingSeq=1",405,"here: https://erecruit.umsystem.edu/psc/tamext/STLOU/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&SiteId=11&FOCUS=Applicant&SiteId=11&JobOpeningId=58568&PostingSeq=1"
"https://amigos.org/services/job-bank/access-services-librarian-university-missouri-st-louis-mo","https://erecruit.umsystem.edu/psc/tamext/STLOU/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_SCHJOB_FL&Action=U",405,"https://erecruit.umsystem.edu/psc/tamext/STLOU/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_SCHJOB_FL&Action=U"
"https://amigos.org/services/job-bank/librarian-i-catalog-texas-christian-university-fort-worth-tx","https://jobs.tcu.edu/jobs/librarian-i-catalog-tcu-main-campus-texas-united-states",404,"https://jobs.tcu.edu/jobs/librarian-i-catalog-tcu-main-campus-texas-united-states"
"https://amigos.org/services/online-conference/digital-accessibility-in-libraries","https://amigos.org/node/12794%20#paragraph-355",404,"Transcripts and Captions and Metadata, Oh My!: A Case Study on Making Digitized Film Accessible"
