Page,URL,Title,Impact,Rule ID,Description,Help,Help URL,HTML Element
109,https://amigos.org/membership/annual-conference/2026,The Ways We Thrive: The Amigos Member Conference 2026 | Amigos Library Services,minor,empty-heading,Ensure headings have discernible text,Headings should not be empty,https://dequeuniversity.com/rules/axe/4.10/empty-heading?application=axeAPI,"<h1 data-asw-org-font-size=""32"" style=""font-size: 32px;""></h1>"
125,https://amigos.org/news/archive,News | Amigos Library Services,serious,list,Ensure that lists are structured correctly,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements",https://dequeuniversity.com/rules/axe/4.10/list?application=axeAPI,"<ul class=""pager__items js-pager__items"">"
142,https://amigos.org/taxonomy/term/1/feed,,serious,document-title,Ensure each HTML document contains a non-empty <title> element,Documents must have <title> element to aid in navigation,https://dequeuniversity.com/rules/axe/4.10/document-title?application=axeAPI,<html>
142,https://amigos.org/taxonomy/term/1/feed,,serious,html-has-lang,Ensure every HTML document has a lang attribute,<html> element must have a lang attribute,https://dequeuniversity.com/rules/axe/4.10/html-has-lang?application=axeAPI,<html>
142,https://amigos.org/taxonomy/term/1/feed,,moderate,landmark-one-main,Ensure the document has a main landmark,Document should have one main landmark,https://dequeuniversity.com/rules/axe/4.10/landmark-one-main?application=axeAPI,<html>
142,https://amigos.org/taxonomy/term/1/feed,,moderate,page-has-heading-one,"Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.10/page-has-heading-one?application=axeAPI,<html>
142,https://amigos.org/taxonomy/term/1/feed,,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<pre style=""word-wrap: break-word; white-space: pre-wrap;"">"
149,https://amigos.org/taxonomy/term/18/feed,,serious,document-title,Ensure each HTML document contains a non-empty <title> element,Documents must have <title> element to aid in navigation,https://dequeuniversity.com/rules/axe/4.10/document-title?application=axeAPI,<html>
149,https://amigos.org/taxonomy/term/18/feed,,serious,html-has-lang,Ensure every HTML document has a lang attribute,<html> element must have a lang attribute,https://dequeuniversity.com/rules/axe/4.10/html-has-lang?application=axeAPI,<html>
149,https://amigos.org/taxonomy/term/18/feed,,moderate,landmark-one-main,Ensure the document has a main landmark,Document should have one main landmark,https://dequeuniversity.com/rules/axe/4.10/landmark-one-main?application=axeAPI,<html>
149,https://amigos.org/taxonomy/term/18/feed,,moderate,page-has-heading-one,"Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.10/page-has-heading-one?application=axeAPI,<html>
149,https://amigos.org/taxonomy/term/18/feed,,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<pre style=""word-wrap: break-word; white-space: pre-wrap;"">"
150,https://amigos.org/node/4470?page=0,Continuing Education Services | Amigos Library Services,critical,select-name,Ensure select element has an accessible name,Select element must have an accessible name,https://dequeuniversity.com/rules/axe/4.10/select-name?application=axeAPI,"<select data-drupal-selector=""edit-field-coursetype-target-id"" id=""edit-field-coursetype-target-id"" name=""field_coursetype_target_id"" class=""form-select"">"
151,https://amigos.org/node/4470?page=1,Continuing Education Services | Amigos Library Services,critical,select-name,Ensure select element has an accessible name,Select element must have an accessible name,https://dequeuniversity.com/rules/axe/4.10/select-name?application=axeAPI,"<select data-drupal-selector=""edit-field-coursetype-target-id"" id=""edit-field-coursetype-target-id"" name=""field_coursetype_target_id"" class=""form-select"">"
152,https://amigos.org/services/continuing-education/acrl-framework-informed-best-practices-academic-reference-services,ACRL Framework-Informed Best Practices for Academic Reference Services | Amigos Library Services,moderate,heading-order,Ensure the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI,"<h3 data-asw-org-font-size=""16"" style=""font-size: 16px;"">Instructor(s)</h3>"
153,https://amigos.org/services/continuing-education/adaptive-services-staff-success-amigos-community-conversation,Adaptive Services for Staff Success: An Amigos Community Conversation | Amigos Library Services,moderate,heading-order,Ensure the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI,"<h3 data-asw-org-font-size=""16"" style=""font-size: 16px;"">Instructor(s)</h3>"
154,https://amigos.org/services/continuing-education/ai-prompting-purpose-building-refining-and-testing-ai-prompts-library,"AI Prompting with Purpose: Building, Refining, and Testing AI Prompts for Library Work | Amigos Library Services",moderate,heading-order,Ensure the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI,"<h3 data-asw-org-font-size=""16"" style=""font-size: 16px;"">Instructor(s)</h3>"
156,https://amigos.org/services/continuing-education/introduction-teaching-information-literacy,An Introduction to Teaching Information Literacy | Amigos Library Services,moderate,heading-order,Ensure the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI,"<h3 data-asw-org-font-size=""16"" style=""font-size: 16px;"">Instructor(s)</h3>"
157,https://amigos.org/services/continuing-education/authority-control-creating-and-maintaining-consistency,Authority Control: Creating and Maintaining Consistency | Amigos Library Services,moderate,heading-order,Ensure the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI,"<h3 data-asw-org-font-size=""16"" style=""font-size: 16px;"">Instructor(s)</h3>"
