Page,URL,Title,Impact,Rule ID,Description,Help,Help URL,HTML Element
1,https://pika.clearviewlibrary.org/,Catalog Home | Clearview Library District,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<span class=""selected-browse-label-search-text"" style=""opacity: 0.523553;"">Colorful Titles for Kids</span>"
4,https://pika.clearviewlibrary.org/Search/Advanced,Advanced Search | Clearview Library District,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<label for=""join0"" class=""join"">Match : <select id=""join0"" name=""bool0[]""><option value=""AND"">ALL Terms (AND)</option><option value=""OR"">ANY Terms (OR)</option><option value=""NOT"">NO Terms (NOT)</option></select></label>"
4,https://pika.clearviewlibrary.org/Search/Advanced,Advanced Search | Clearview Library District,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<select id=""join0"" name=""bool0[]""><option value=""AND"">ALL Terms (AND)</option><option value=""OR"">ANY Terms (OR)</option><option value=""NOT"">NO Terms (NOT)</option></select>"
4,https://pika.clearviewlibrary.org/Search/Advanced,Advanced Search | Clearview Library District,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<div class=""searchLabel col-sm-2"">Search for :</div>"
4,https://pika.clearviewlibrary.org/Search/Advanced,Advanced Search | Clearview Library District,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<input type=""text"" aria-label=""search phrase"" class=""form-control"" name=""lookfor0[]"" value="""">"
4,https://pika.clearviewlibrary.org/Search/Advanced,Advanced Search | Clearview Library District,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<span class=""input-group-addon"">in </span>"
4,https://pika.clearviewlibrary.org/Search/Advanced,Advanced Search | Clearview Library District,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<select aria-label=""type of search"" class=""form-control"" name=""type0[]"">"
4,https://pika.clearviewlibrary.org/Search/Advanced,Advanced Search | Clearview Library District,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<input type=""text"" aria-label=""search phrase"" class=""form-control"" name=""lookfor0[]"" value="""">"
4,https://pika.clearviewlibrary.org/Search/Advanced,Advanced Search | Clearview Library District,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<span class=""input-group-addon"">in </span>"
4,https://pika.clearviewlibrary.org/Search/Advanced,Advanced Search | Clearview Library District,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<select aria-label=""type of search"" class=""form-control"" name=""type0[]"">"
4,https://pika.clearviewlibrary.org/Search/Advanced,Advanced Search | Clearview Library District,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<input type=""text"" aria-label=""search phrase"" class=""form-control"" name=""lookfor0[]"" value="""">"
4,https://pika.clearviewlibrary.org/Search/Advanced,Advanced Search | Clearview Library District,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<span class=""input-group-addon"">in </span>"
4,https://pika.clearviewlibrary.org/Search/Advanced,Advanced Search | Clearview Library District,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<select aria-label=""type of search"" class=""form-control"" name=""type0[]"">"
4,https://pika.clearviewlibrary.org/Search/Advanced,Advanced Search | Clearview Library District,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<button class=""add btn btn-sm btn-default"" id=""add_search_link_0"" onclick=""return addSearchJS(this);"">Add Search Field</button>"
5,https://pika.clearviewlibrary.org/AJAX/JSON?method=getHoursAndLocations,,serious,document-title,Ensure each HTML document contains a non-empty <title> element,Documents must have <title> element to aid in navigation,https://dequeuniversity.com/rules/axe/4.10/document-title?application=axeAPI,<html>
5,https://pika.clearviewlibrary.org/AJAX/JSON?method=getHoursAndLocations,,serious,html-has-lang,Ensure every HTML document has a lang attribute,<html> element must have a lang attribute,https://dequeuniversity.com/rules/axe/4.10/html-has-lang?application=axeAPI,<html>
5,https://pika.clearviewlibrary.org/AJAX/JSON?method=getHoursAndLocations,,moderate,landmark-one-main,Ensure the document has a main landmark,Document should have one main landmark,https://dequeuniversity.com/rules/axe/4.10/landmark-one-main?application=axeAPI,<html>
5,https://pika.clearviewlibrary.org/AJAX/JSON?method=getHoursAndLocations,,moderate,page-has-heading-one,"Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.10/page-has-heading-one?application=axeAPI,<html>
5,https://pika.clearviewlibrary.org/AJAX/JSON?method=getHoursAndLocations,,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,<form>
5,https://pika.clearviewlibrary.org/AJAX/JSON?method=getHoursAndLocations,,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""locationInfo container"" id=""locationAddress2"">"
