Page,URL,Title,Report Link,Total,Critical,Serious,Moderate,Minor
1,https://projectcamp.co/,Project:Camp,./reports/1.html,2,0,2,1,0
10,https://projectcamp.co/about-us,About Us — Project:Camp,./reports/10.html,3,0,4,2,0
11,https://projectcamp.co/volunteers,Volunteers — Project:Camp,./reports/11.html,3,0,2,2,0
12,https://projectcamp.co/volunteers,Volunteers — Project:Camp,./reports/12.html,3,0,2,2,0
13,https://projectcamp.co/partners,Partners — Project:Camp,./reports/13.html,4,0,3,2,0
14,https://projectcamp.co/bulletin-board/los-angeles-wildfire-update,Los Angeles Wildfire Update — Project:Camp,./reports/14.html,3,0,11,2,0
15,https://projectcamp.co/bulletin-board/wrapping-up-2024,Wrapping Up 2024 — Project:Camp,./reports/15.html,3,0,3,2,0
16,https://projectcamp.co/bulletin-board/thanksgiving-thanks,Thanksgiving Thanks — Project:Camp,./reports/16.html,3,0,2,2,0
17,https://projectcamp.co/home,Project:Camp,./reports/17.html,2,0,3,1,0
18,https://projectcamp.co/bulletin-board/b835pikckc3gjj3kewf8fecq2jlncf,Project:Camp's Hurricane Helene Response — Project:Camp,./reports/18.html,2,0,2,1,0
19,https://projectcamp.co/bulletin-board/2wcl2clstevk1kab8wahcvmb2uz710,Working for Systemic Change — Project:Camp,./reports/19.html,2,0,2,1,0
2,https://projectcamp.co/cart,Project:Camp,./reports/2.html,3,0,2,2,0
20,https://projectcamp.co/bulletin-board/creating-a-collaborative-in-new-mexico,Creating a Collaborative in New Mexico — Project:Camp,./reports/20.html,3,0,4,2,0
21,https://projectcamp.co/bulletin-board/370evemjksz0yckp48wke8tzm3ws2s,Gratitude in Greenfield — Project:Camp,./reports/21.html,3,0,3,2,0
22,https://projectcamp.co/bulletin-board/responding-in-oklahoma,Responding in Oklahoma — Project:Camp,./reports/22.html,2,0,6,1,0
23,https://projectcamp.co/bulletin-board/6jexewmuoehjxuoltey4jatbzt2ghg,A Seminal Moment in Seminole — Project:Camp,./reports/23.html,2,0,2,1,0
24,https://projectcamp.co/bulletin-board/projectcamps-2023-in-review,Project:Camp's 2023 In Review — Project:Camp,./reports/24.html,3,0,5,2,0
25,https://projectcamp.co/bulletin-board/what-a-year,What a Year! — Project:Camp,./reports/25.html,2,0,2,1,0
26,https://projectcamp.co/bulletin-board/what-is-preparedness,What is Preparedness? — Project:Camp,./reports/26.html,2,0,3,1,0
27,https://projectcamp.co/bulletin-board/national-preparedness-month,National Preparedness Month — Project:Camp,./reports/27.html,2,0,2,1,0
28,https://projectcamp.co/bulletin-board/mahalo-from-maui,Mahalo from Maui — Project:Camp,./reports/28.html,2,0,2,1,0
29,https://projectcamp.co/bulletin-board/maui-camp-update,Maui Camp Update — Project:Camp,./reports/29.html,2,0,6,1,0
3,https://projectcamp.co/donate,Donate — Project:Camp,./reports/3.html,4,0,2,7,0
30,https://projectcamp.co/bulletin-board/projectcamps-growing-capacity,Project:Camp's Growing Capacity — Project:Camp,./reports/30.html,2,0,7,1,0
31,https://projectcamp.co/bulletin-board/7ng14f0zke3r9wnqbpc32r4ncnwae6,Our Partners in Preparation — Project:Camp,./reports/31.html,3,0,9,2,0
32,https://projectcamp.co/bulletin-board/sc4ulb879nwr4zbv1ucjyz5dvin11j,Reflection & Rededication — Project:Camp,./reports/32.html,2,0,5,1,0
33,https://projectcamp.co/bulletin-board/yegf61jh0hgkjua38uknshgt5go44r,Attitude of Gratitude — Project:Camp,./reports/33.html,3,0,6,2,0
34,https://projectcamp.co/bulletin-board/blog-post-title-one-7c97g,Learnings from Hurricane Ian — Project:Camp,./reports/34.html,3,0,6,2,0
