Page,URL,Title,Report Link,Total,Critical,Serious,Moderate,Minor
1,https://urbanafreelibrary.org/,Homepage | Urbana Free Library,./reports/1.html,8,1,10,3,1
10,https://urbanafreelibrary.org/ebooks-more/ebooks,eBooks | Urbana Free Library,./reports/10.html,5,1,5,9,0
11,https://urbanafreelibrary.org/ebooks-more/ebooks,eBooks | Urbana Free Library,./reports/11.html,5,1,5,9,0
12,https://urbanafreelibrary.org/ebooks-more/audiobooks,Audiobooks | Urbana Free Library,./reports/12.html,5,1,5,9,0
13,https://urbanafreelibrary.org/ebooks-more/movies-tv,Movies & TV Shows | Urbana Free Library,./reports/13.html,4,1,4,9,0
14,https://urbanafreelibrary.org/ebooks-more/music,Music | Urbana Free Library,./reports/14.html,4,1,4,9,0
15,https://urbanafreelibrary.org/ebooks-more/magazines,Magazines | Urbana Free Library,./reports/15.html,5,1,5,9,0
16,https://urbanafreelibrary.org/ebooks-more/research-learn,Research & Learn | Urbana Free Library,./reports/16.html,4,1,4,8,0
17,https://urbanafreelibrary.org/local-history/using-the-archives,Using the Archives | Urbana Free Library,./reports/17.html,5,1,5,8,0
18,https://urbanafreelibrary.org/local-history/using-the-archives,Using the Archives | Urbana Free Library,./reports/18.html,5,1,5,8,0
19,https://urbanafreelibrary.org/local-history/blog,Local History & Genealogy Blog | Urbana Free Library,./reports/19.html,8,1,7,9,0
2,https://urbanafreelibrary.org/donate,Donate | Urbana Free Library,./reports/2.html,6,1,7,8,0
20,https://urbanafreelibrary.org/local-history/collections,Collections | Urbana Free Library,./reports/20.html,5,1,5,8,0
21,https://urbanafreelibrary.org/local-history/databases,Databases & Research Tools | Urbana Free Library,./reports/21.html,5,1,5,8,0
22,https://urbanafreelibrary.org/events,Events | Urbana Free Library,./reports/22.html,6,1,10,8,0
23,https://urbanafreelibrary.org/events/150-years,150 Years at The Urbana Free Library | Urbana Free Library,./reports/23.html,7,1,10,8,1
24,https://urbanafreelibrary.org/events/reading-programs,Reading Programs | Urbana Free Library,./reports/24.html,5,1,5,8,0
25,https://urbanafreelibrary.org/events/weekly-programs,Weekly Programs | Urbana Free Library,./reports/25.html,6,1,6,8,0
26,https://urbanafreelibrary.org/events/fairy-tale-ball,Fairy Tale Ball | Urbana Free Library,./reports/26.html,5,1,5,8,0
27,https://urbanafreelibrary.org/about-us,About | Urbana Free Library,./reports/27.html,6,1,9,8,0
28,https://urbanafreelibrary.org/about-us/bids-rfps,Bids and RFPs | Urbana Free Library,./reports/28.html,6,1,8,8,0
29,https://urbanafreelibrary.org/about-us/your-right-to-know/board-members,Board Members | Urbana Free Library,./reports/29.html,6,1,18,8,0
3,https://urbanafreelibrary.org/using-library/library-cards,Library Cards | Urbana Free Library,./reports/3.html,6,1,7,8,0
30,https://urbanafreelibrary.org/about-us/contact,Contact | Urbana Free Library,./reports/30.html,6,1,14,8,0
31,https://urbanafreelibrary.org/donations,Donations | Urbana Free Library,./reports/31.html,6,1,14,8,0
32,https://urbanafreelibrary.org/about-us/employment,Employment | Urbana Free Library,./reports/32.html,6,1,12,8,0
33,https://urbanafreelibrary.org/about-us/hours,Hours | Urbana Free Library,./reports/33.html,5,1,5,8,0
34,https://urbanafreelibrary.org/about-us/foundation,Foundation | Urbana Free Library,./reports/34.html,6,1,8,8,0
35,https://urbanafreelibrary.org/about-us/friends,Friends of the Library | Urbana Free Library,./reports/35.html,6,1,10,8,0
36,https://urbanafreelibrary.org/about-us/volunteer,Volunteer | Urbana Free Library,./reports/36.html,6,1,7,8,0
37,https://urbanafreelibrary.org/about-us/your-right-to-know,Your Right to Know | Urbana Free Library,./reports/37.html,6,1,6,8,0
38,https://urbanafreelibrary.org/reading-programs/summer-reading25,Summer Reading | Urbana Free Library,./reports/38.html,7,2,8,8,0
39,https://urbanafreelibrary.org/using-library/services/meeting-rooms,Meeting Rooms | Urbana Free Library,./reports/39.html,6,1,11,8,0
4,https://urbanafreelibrary.org/using-library/borrow-return,Borrowing Information | Urbana Free Library,./reports/4.html,6,1,7,8,0
40,https://urbanafreelibrary.org/about/news,Library News | Urbana Free Library,./reports/40.html,7,1,16,9,0
41,https://urbanafreelibrary.org/using-library/collections/seed-exchange,Seed Exchange | Urbana Free Library,./reports/41.html,6,1,8,8,0
42,https://urbanafreelibrary.org/using-library/services/curbside-pickup,Curbside Pickup | Urbana Free Library,./reports/42.html,6,1,7,8,0
43,https://urbanafreelibrary.org/suggest-a-purchase,Suggest a Purchase | Urbana Free Library,./reports/43.html,5,1,5,8,0
44,https://urbanafreelibrary.org/accessibility,Accessibility | Urbana Free Library,./reports/44.html,6,1,9,8,0
45,https://urbanafreelibrary.org/about-us/floor-plan,Floor Plan | Urbana Free Library,./reports/45.html,6,1,8,8,0
46,https://urbanafreelibrary.org/foia,Freedom of Information Act | Urbana Free Library,./reports/46.html,6,1,17,8,0
47,https://urbanafreelibrary.org/privacy,Privacy Statement | Urbana Free Library,./reports/47.html,5,1,5,8,0
48,https://urbanafreelibrary.org/using-library/library-cards,Library Cards | Urbana Free Library,./reports/48.html,6,1,7,8,0
49,https://urbanafreelibrary.org/using-library/services/home-delivery,Home Delivery | Urbana Free Library,./reports/49.html,6,1,9,8,0
5,https://urbanafreelibrary.org/using-library/collections,Collections | Urbana Free Library,./reports/5.html,6,1,12,8,0
50,https://urbanafreelibrary.org/node/1179,Books and More! Bundles | Urbana Free Library,./reports/50.html,6,1,7,8,0
6,https://urbanafreelibrary.org/using-library/services,Services | Urbana Free Library,./reports/6.html,5,1,5,8,0
7,https://urbanafreelibrary.org/using-library/library-things,Library of Things | Urbana Free Library,./reports/7.html,5,1,5,8,0
8,https://urbanafreelibrary.org/using-library/parents-teachers,Parents & Teachers | Urbana Free Library,./reports/8.html,6,1,14,8,0
