Page,URL,Title,Impact,Rule ID,Description,Help,Help URL,HTML Element
1,https://urbanafreelibrary.org/,Homepage | Urbana Free Library,minor,aria-allowed-role,Ensure role attribute has an appropriate value for the element,ARIA role should be appropriate for the element,https://dequeuniversity.com/rules/axe/4.10/aria-allowed-role?application=axeAPI,"<article class=""media media--type-homepage-feature media--view-mode-default slick-slide slick-current slick-active"" data-slick-index=""0"" aria-hidden=""false"" tabindex=""0"" role=""tabpanel"" id=""slick-slide10"" aria-describedby=""slick-slide-control10"" style=""width: 1229px;"">"
1,https://urbanafreelibrary.org/,Homepage | Urbana Free Library,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<div class=""field__item slick-slide"" data-slick-index=""1"" aria-hidden=""true"" tabindex=""-1"" role=""tabpanel"" id=""slick-slide01"" aria-describedby=""slick-slide-control01"" style=""width: 1229px;"">"
1,https://urbanafreelibrary.org/,Homepage | Urbana Free Library,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<div class=""field__item slick-slide"" data-slick-index=""2"" aria-hidden=""true"" tabindex=""-1"" role=""tabpanel"" id=""slick-slide02"" aria-describedby=""slick-slide-control02"" style=""width: 1229px;"">"
1,https://urbanafreelibrary.org/,Homepage | Urbana Free Library,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<div class=""field__item slick-slide"" data-slick-index=""3"" aria-hidden=""true"" tabindex=""-1"" role=""tabpanel"" id=""slick-slide03"" aria-describedby=""slick-slide-control03"" style=""width: 1229px;"">"
1,https://urbanafreelibrary.org/,Homepage | Urbana Free Library,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<a href=""https://tufl.m-pages.com/heDaPP/the-urbana-free-library-newsletter-sign-up"" target=""_blank"" class=""button"">Sign up now</a>"
1,https://urbanafreelibrary.org/,Homepage | Urbana Free Library,serious,frame-title,Ensure <iframe> and <frame> elements have an accessible name,Frames must have an accessible name,https://dequeuniversity.com/rules/axe/4.10/frame-title?application=axeAPI,"<iframe src=""https://urbanafreelibrary.libnet.info/widget?id=15863&amp;style=1168&amp;location=1672"" data-widgetid=""15863"" data-client=""urbanafreelibrary"" scrolling=""no"" style=""overflow: hidden;"" marginheight=""0"" class=""widgetframepreview"" onload=""resizeIframe(this)"" width=""100%"" height=""350"" frameborder=""0"">"
1,https://urbanafreelibrary.org/,Homepage | Urbana Free Library,serious,frame-title,Ensure <iframe> and <frame> elements have an accessible name,Frames must have an accessible name,https://dequeuniversity.com/rules/axe/4.10/frame-title?application=axeAPI,"<iframe src=""https://urbanafreelibrary.libnet.info/widget?id=15906&amp;style=502&amp;bodyonly=1"" data-widgetid=""15906"" data-client=""urbanafreelibrary"" scrolling=""no"" style=""overflow: hidden;"" marginheight=""0"" class=""widgetframepreview"" onload=""resizeIframe(this)"" width=""300"" height=""400"" frameborder=""0"">"
1,https://urbanafreelibrary.org/,Homepage | Urbana Free Library,critical,input-image-alt,"Ensure <input type=""image""> elements have alternative text",Image buttons must have alternative text,https://dequeuniversity.com/rules/axe/4.10/input-image-alt?application=axeAPI,"<input alt="""" class=""custom-search-button image-button js-form-submit form-submit"" data-drupal-selector=""edit-submit"" type=""image"" id=""edit-submit"" src=""/themes/custom/ufl/assets/images/search.svg"">"
1,https://urbanafreelibrary.org/,Homepage | Urbana Free Library,moderate,landmark-unique,Ensure landmarks are unique,Landmarks should have a unique role or role/label/title (i.e. accessible name) combination,https://dequeuniversity.com/rules/axe/4.10/landmark-unique?application=axeAPI,"<nav role=""navigation"" aria-labelledby=""block-utilities-menu"" id=""block-utilities"" class=""block block-menu navigation menu--utilities"">"
1,https://urbanafreelibrary.org/,Homepage | Urbana Free Library,moderate,landmark-unique,Ensure landmarks are unique,Landmarks should have a unique role or role/label/title (i.e. accessible name) combination,https://dequeuniversity.com/rules/axe/4.10/landmark-unique?application=axeAPI,"<nav role=""navigation"" aria-labelledby=""block-ufl-main-menu-menu"" id=""block-ufl-main-menu"" class=""block block-menu navigation menu--main"">"
1,https://urbanafreelibrary.org/,Homepage | Urbana Free Library,serious,link-name,Ensure links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI,"<a href=""https://www.facebook.com/UrbanaFreeLibrary"" target=""_blank"" alt=""facebook""><img alt="""" class=""adaptive-image"" src=""/themes/custom/ufl/assets/images/facebook.png"" typeof=""foaf:Image""></a>"
