Page,URL,Title,Report Link,Total,Critical,Serious,Moderate,Minor
1,https://clearviewlibrary.org/,Homepage | Clearview Library,./reports/1.html,3,0,0,10,0
10,https://clearviewlibrary.org/borrow-research/adventure-pass,Adventure Pass | Clearview Library,./reports/10.html,2,0,0,8,0
11,https://clearviewlibrary.org/borrow-research/books-movies-more/interlibrary-loan,Interlibrary Loan | Clearview Library,./reports/11.html,3,0,8,8,0
12,https://clearviewlibrary.org/borrow-research/books-movies-more/read-watch-listen-suggestions,"Read, Watch, Listen Suggestions | Clearview Library",./reports/12.html,2,0,0,8,0
13,https://clearviewlibrary.org/borrow-research/research,Research | Clearview Library,./reports/13.html,3,0,24,7,0
14,https://clearviewlibrary.org/borrow-research/research?field_resource_category_target_id=18,Research | Clearview Library,./reports/14.html,3,0,3,7,0
15,https://clearviewlibrary.org/borrow-research/research?field_resource_category_target_id=19,Research | Clearview Library,./reports/15.html,3,0,1,7,0
16,https://clearviewlibrary.org/borrow-research/research?field_resource_category_target_id=25,Research | Clearview Library,./reports/16.html,3,0,4,7,0
17,https://clearviewlibrary.org/borrow-research/research?field_resource_category_target_id=21,Research | Clearview Library,./reports/17.html,3,0,7,7,0
18,https://clearviewlibrary.org/borrow-research/research/news-current-events,News & Current Events | Clearview Library,./reports/18.html,3,0,0,8,0
19,https://clearviewlibrary.org/services/other/reserve-room,Reserve a Meeting Room | Clearview Library,./reports/19.html,2,0,0,8,0
2,https://clearviewlibrary.org/,Homepage | Clearview Library,./reports/2.html,3,0,0,10,0
20,https://clearviewlibrary.org/programs-events/upcoming-events/for-adults,For Adults | Clearview Library,./reports/20.html,3,0,1,8,0
21,https://clearviewlibrary.org/programs-events/upcoming-events/for-teens,For Teens | Clearview Library,./reports/21.html,4,0,1,9,0
22,https://clearviewlibrary.org/programs-events/upcoming-events/book-clubs,Book Clubs | Clearview Library,./reports/22.html,4,0,1,9,0
23,https://clearviewlibrary.org/programs-events/upcoming-events/suggest-program,Suggest a Program | Clearview Library,./reports/23.html,2,0,0,8,0
24,https://clearviewlibrary.org/sap,Summer Adventure Program | Clearview Library,./reports/24.html,3,0,1,8,0
25,https://clearviewlibrary.org/programs-events/just-for-kids,Just for Kids | Clearview Library,./reports/25.html,3,0,1,8,0
26,https://clearviewlibrary.org/programs-events/just-for-kids/little-ones,Little Ones | Clearview Library,./reports/26.html,3,0,1,8,0
27,https://clearviewlibrary.org/programs-events/just-for-kids/1k-books-before-kindergarten,1000 Books Before Kindergarten | Clearview Library,./reports/27.html,2,0,0,8,0
28,https://clearviewlibrary.org/services,Services | Clearview Library,./reports/28.html,4,1,1,7,0
29,https://clearviewlibrary.org/services/technology,Technology Services | Clearview Library,./reports/29.html,2,0,0,8,0
3,https://clearviewlibrary.org/about-us/learn-more/hours-locations,Hours & Locations | Clearview Library,./reports/3.html,2,0,0,7,0
30,https://clearviewlibrary.org/services/technology/3d-printing,3D Printing | Clearview Library,./reports/30.html,3,0,3,8,0
31,https://clearviewlibrary.org/about-us/learn-more/news/text-notifications,Text Notifications | Clearview Library,./reports/31.html,2,0,0,8,0
32,https://clearviewlibrary.org/services/other,Other Services | Clearview Library,./reports/32.html,2,0,0,8,0
33,https://clearviewlibrary.org/services/other/bookmobile,Bookmobile | Clearview Library,./reports/33.html,2,0,0,8,0
34,https://clearviewlibrary.org/services/other/lobby-stops,Lobby Stops | Clearview Library,./reports/34.html,2,0,0,8,0
35,https://clearviewlibrary.org/services/other/tax-help,Tax Help | Clearview Library,./reports/35.html,2,0,0,8,0
36,https://clearviewlibrary.org/about-us,About Us | Clearview Library,./reports/36.html,5,1,1,8,0
37,https://clearviewlibrary.org/about-us/learn-more,Learn More | Clearview Library,./reports/37.html,2,0,0,8,0
38,https://clearviewlibrary.org/about-us/learn-more/news,News | Clearview Library,./reports/38.html,4,0,1,8,0
39,https://clearviewlibrary.org/about-us/learn-more/policies,Policies | Clearview Library,./reports/39.html,2,0,0,8,0
4,https://clearviewlibrary.org/contact,Contact | Clearview Library,./reports/4.html,2,0,0,8,0
40,https://clearviewlibrary.org/about-us/learn-more/faqs,FAQs | Clearview Library,./reports/40.html,2,0,0,8,0
41,https://clearviewlibrary.org/about-us/learn-more/board-of-trustees,Board of Trustees | Clearview Library,./reports/41.html,4,1,1,8,0
42,https://clearviewlibrary.org/about-us/learn-more/work-with-us,Work With Us | Clearview Library,./reports/42.html,2,0,0,8,0
43,https://clearviewlibrary.org/about-us/learn-more/facilities-plan,Facilities Plan | Clearview Library,./reports/43.html,3,0,3,8,0
44,https://clearviewlibrary.org/about-us/values-priorities,Values & Priorities | Clearview Library,./reports/44.html,2,0,0,8,0
45,https://clearviewlibrary.org/about-us/values-priorities/our-impact,Our Impact | Clearview Library,./reports/45.html,5,1,6,8,0
46,https://clearviewlibrary.org/about-us/values-priorities/financial-spending,Financial Spending | Clearview Library,./reports/46.html,2,0,0,8,0
47,https://clearviewlibrary.org/about-us/values-priorities/strategic-plan,Together Forward: 2024-2025 Strategic Plan | Clearview Library,./reports/47.html,4,1,6,8,0
48,https://clearviewlibrary.org/about-us/support-donate,Support & Donate | Clearview Library,./reports/48.html,2,0,0,8,0
49,https://clearviewlibrary.org/about-us/support-donate/volunteer,Volunteer | Clearview Library,./reports/49.html,2,0,0,8,0
5,https://clearviewlibrary.org/card,Get a Library Card | Clearview Library,./reports/5.html,2,0,0,8,0
50,https://clearviewlibrary.org/your-library-story,Your Library Story | Clearview Library,./reports/50.html,2,0,0,7,0
6,https://clearviewlibrary.org/borrow-research,Borrow & Research | Clearview Library,./reports/6.html,4,1,1,7,0
7,https://clearviewlibrary.org/borrow-research/books-movies-more,"Books, Movies, & More | Clearview Library",./reports/7.html,5,2,1,8,0
8,https://clearviewlibrary.org/borrow-research/books-movies-more/downloads-streaming,Downloads & Streaming | Clearview Library,./reports/8.html,3,0,10,7,0
9,https://clearviewlibrary.org/borrow-research/books-movies-more/explore-kits,"""Library of Things"": Check Out an Adventure with Explore Kits | Clearview Library",./reports/9.html,2,0,0,8,0
