Page,URL,Title,Report Link,Total,Critical,Serious,Moderate,Minor
1,https://projectcamp.co/,Project:Camp,./reports/1.html,2,0,2,1,0
10,https://projectcamp.co/about-us,About Us — Project:Camp,./reports/10.html,3,0,4,2,0
2,https://projectcamp.co/cart,Project:Camp,./reports/2.html,3,0,2,2,0
3,https://projectcamp.co/donate,Donate — Project:Camp,./reports/3.html,4,0,2,7,0
4,https://projectcamp.co/camps,Camps — Project:Camp,./reports/4.html,3,0,2,5,0
5,https://projectcamp.co/camps,Camps — Project:Camp,./reports/5.html,3,0,2,5,0
6,https://projectcamp.co/preparing-communities,Preparing Communities — Project:Camp,./reports/6.html,3,0,2,2,0
7,https://projectcamp.co/bulletin-board,Bulletin Board — Project:Camp,./reports/7.html,2,0,10,1,0
8,https://projectcamp.co/about,Our Team — Project:Camp,./reports/8.html,4,0,3,2,0
9,https://projectcamp.co/about,Our Team — Project:Camp,./reports/9.html,4,0,3,2,0
