Page,URL,Title,Report Link,Total,Critical,Serious,Moderate,Minor
1,https://clearview.libnet.info/events?,Events - Clearview Library District,./reports/1.html,2,0,0,12,0
10,https://clearview.libnet.info/event/14172816,Lego Engineers - Clearview Library District,./reports/10.html,9,1,7,21,0
100,https://clearview.libnet.info/event/14146140,Chess Club - Clearview Library District,./reports/100.html,10,1,8,20,1
101,https://clearview.libnet.info/event/14158714,We Dream in Steam - Clearview Library District,./reports/101.html,9,1,7,21,0
102,https://clearview.libnet.info/event/14226849,Bookmobile Stop at Cherry Park at RainDance - Clearview Library District,./reports/102.html,10,1,9,23,1
103,https://clearview.libnet.info/event/14028747,Bookmobile Stop at Pelican Farms Park - Clearview Library District,./reports/103.html,10,1,9,23,1
104,https://clearview.libnet.info/event/14148080,Thursdays at the Library - Clearview Library District,./reports/104.html,9,1,8,20,0
105,https://clearview.libnet.info/event/14028619,Bookmobile Stop at Hollister Lake Elementary - Clearview Library District,./reports/105.html,10,1,9,23,1
106,https://clearview.libnet.info/event/14172545,Young Scientists - Clearview Library District,./reports/106.html,9,1,8,21,0
107,https://clearview.libnet.info/event/14028783,Bookmobile Stop at Overlook Park - Clearview Library District,./reports/107.html,10,1,9,23,1
108,https://clearview.libnet.info/event/14028802,Bookmobile Stop at Village East Park - Clearview Library District,./reports/108.html,10,1,9,23,1
109,https://clearview.libnet.info/event/14028833,Bookmobile Stop at Promontory Community Park - Clearview Library District,./reports/109.html,10,1,9,23,1
11,https://clearview.libnet.info/event/14028635,Bookmobile Stop at Northern Lights Park - Clearview Library District,./reports/11.html,10,1,9,23,1
110,https://clearview.libnet.info/event/14173949,Teen DIY - Clearview Library District,./reports/110.html,9,1,7,21,0
111,https://clearview.libnet.info/event/14197002,Babies and Books - Clearview Library District,./reports/111.html,9,1,7,21,0
112,https://clearview.libnet.info/event/14197023,Stay and Play - Clearview Library District,./reports/112.html,9,1,6,21,0
113,https://clearview.libnet.info/event/14158126,Lil' Bites - Clearview Library District,./reports/113.html,9,1,8,20,0
114,https://clearview.libnet.info/event/14028938,Bookmobile Stop at Range View Elementary - Clearview Library District,./reports/114.html,10,1,9,23,1
115,https://clearview.libnet.info/event/14208622,Reading Bugs - Clearview Library District,./reports/115.html,9,1,7,21,0
116,https://clearview.libnet.info/event/14172990,Teen Video Gaming - Clearview Library District,./reports/116.html,9,1,8,20,0
117,https://clearview.libnet.info/event/14460141,Read and Retreat - Clearview Library District,./reports/117.html,9,1,6,21,1
118,https://clearview.libnet.info/event/14172005,"Read, Rhyme, and Romp - Clearview Library District",./reports/118.html,7,0,6,15,0
119,https://clearview.libnet.info/event/14172066,Stay and Play - Clearview Library District,./reports/119.html,7,0,6,15,0
12,https://clearview.libnet.info/event/14526849,PAWS for Reading - Clearview Library District,./reports/12.html,9,1,7,21,0
120,https://clearview.libnet.info/event/14028526,Bookmobile Stop at Grandview Elementary - Clearview Library District,./reports/120.html,10,1,9,23,1
121,https://clearview.libnet.info/event/14028637,Bookmobile Stop at Northern Lights Park - Clearview Library District,./reports/121.html,10,1,9,23,1
122,https://clearview.libnet.info/event/14526851,PAWS for Reading - Clearview Library District,./reports/122.html,9,1,7,21,0
123,https://clearview.libnet.info/event/14028654,Bookmobile Stop at Windshire Park - Clearview Library District,./reports/123.html,10,1,9,23,1
124,https://clearview.libnet.info/event/14028663,Bookmobile Stop at Covenant Park - Clearview Library District,./reports/124.html,10,1,9,23,1
125,https://clearview.libnet.info/event/14174115,Adulting 101 - Clearview Library District,./reports/125.html,9,1,7,21,0
126,https://clearview.libnet.info/event/14147794,"Read, Rhyme, and Romp - Clearview Library District",./reports/126.html,9,1,7,21,0
127,https://clearview.libnet.info/event/14497491,PAWS for Reading - Clearview Library District,./reports/127.html,9,1,8,20,0
128,https://clearview.libnet.info/event/14147872,Stay and Play - Clearview Library District,./reports/128.html,9,1,6,21,0
129,https://clearview.libnet.info/event/14226727,Bookmobile Stop at Mountain Shadows Community Park - Clearview Library District,./reports/129.html,10,1,9,23,1
13,https://clearview.libnet.info/event/14028652,Bookmobile Stop at Windshire Park - Clearview Library District,./reports/13.html,10,1,9,23,1
130,https://clearview.libnet.info/event/14226781,Bookmobile Stop at Orchard Hill Elementary - Clearview Library District,./reports/130.html,10,1,9,23,1
131,https://clearview.libnet.info/event/14147216,Lego Explorers - Clearview Library District,./reports/131.html,10,1,8,20,1
132,https://clearview.libnet.info/event/14226796,Bookmobile Stop at Ravina Park - Clearview Library District,./reports/132.html,10,1,9,23,1
133,https://clearview.libnet.info/event/14226814,Bookmobile Stop at Greenspire - Clearview Library District,./reports/133.html,10,1,9,23,1
134,https://clearview.libnet.info/event/14325190,Bookmobile Stop at The Ridge Park - Clearview Library District,./reports/134.html,10,1,9,23,1
135,https://clearview.libnet.info/location/Administrative%20Services%20Building,"Sorry, page not found - Clearview Library District",./reports/135.html,3,0,0,4,0
136,https://clearview.libnet.info/location/Bookmobile,"Sorry, page not found - Clearview Library District",./reports/136.html,3,0,0,4,0
137,https://clearview.libnet.info/location/Severance%20Library,"Sorry, page not found - Clearview Library District",./reports/137.html,3,0,0,4,0
138,https://clearview.libnet.info/location/Windsor%20Library,"Sorry, page not found - Clearview Library District",./reports/138.html,3,0,0,4,0
139,https://clearview.libnet.info/events?a=Little+Ones+(0-5),Events - Clearview Library District,./reports/139.html,3,0,2,28,0
14,https://clearview.libnet.info/event/14028661,Bookmobile Stop at Covenant Park - Clearview Library District,./reports/14.html,10,1,9,23,1
140,https://clearview.libnet.info/events?term=STAY%26PLAY,Events - Clearview Library District,./reports/140.html,2,0,0,13,0
141,https://clearview.libnet.info/events?a=Teens+12-18,Events - Clearview Library District,./reports/141.html,2,0,0,13,0
142,https://clearview.libnet.info/events?a=Families,Events - Clearview Library District,./reports/142.html,2,0,0,13,0
143,https://clearview.libnet.info/events?t=Author+Visit,Events - Clearview Library District,./reports/143.html,2,0,0,13,0
144,https://clearview.libnet.info/events?t=Food+%26+Drink,Events - Clearview Library District,./reports/144.html,2,0,0,13,0
145,https://clearview.libnet.info/events?t=Book+Club,Events - Clearview Library District,./reports/145.html,2,0,0,13,0
146,https://clearview.libnet.info/events?a=Adults+(18-up),Events - Clearview Library District,./reports/146.html,2,0,0,13,0
147,https://clearview.libnet.info/events?t=Speaker+Series,Events - Clearview Library District,./reports/147.html,2,0,0,13,0
148,https://clearview.libnet.info/events?t=History,Events - Clearview Library District,./reports/148.html,2,0,0,13,0
149,https://clearview.libnet.info/events?t=Games,Events - Clearview Library District,./reports/149.html,2,0,0,13,0
15,https://clearview.libnet.info/privacy,Privacy and cookie policy - Clearview Library District,./reports/15.html,3,0,0,17,0
150,https://clearview.libnet.info/events?t=Nature,Events - Clearview Library District,./reports/150.html,2,0,0,13,0
151,https://clearview.libnet.info/events?t=Health+%26+Wellness,Events - Clearview Library District,./reports/151.html,2,0,0,13,0
152,https://clearview.libnet.info/events?t=Technology,Events - Clearview Library District,./reports/152.html,2,0,0,13,0
153,https://clearview.libnet.info/events?t=Entertainment,Events - Clearview Library District,./reports/153.html,2,0,0,13,0
154,https://clearview.libnet.info/events?a=Adults+(21%2B),Events - Clearview Library District,./reports/154.html,2,0,0,13,0
155,https://clearview.libnet.info/events?,Events - Clearview Library District,./reports/155.html,3,0,2,33,0
156,https://clearview.libnet.info/events?a=Adults+(18-up),Events - Clearview Library District,./reports/156.html,2,0,0,13,0
157,https://clearview.libnet.info/events?a=Adults+(21%2B),Events - Clearview Library District,./reports/157.html,2,0,0,13,0
16,https://clearview.libnet.info/events?r=thismonth,Events - Clearview Library District,./reports/16.html,2,0,0,9,0
17,https://clearview.libnet.info/,"Sorry, page not found - Clearview Library District",./reports/17.html,3,0,0,4,0
18,https://clearview.libnet.info/events?a=Little+Ones+(0-5),Events - Clearview Library District,./reports/18.html,2,0,0,13,0
19,https://clearview.libnet.info/events?t=Arts+%26+Crafts,Events - Clearview Library District,./reports/19.html,2,0,0,13,0
2,https://clearview.libnet.info/events?,Events - Clearview Library District,./reports/2.html,3,0,2,33,0
20,https://clearview.libnet.info/events?,Events - Clearview Library District,./reports/20.html,3,0,2,33,0
21,https://clearview.libnet.info/events?t=Storytime,Events - Clearview Library District,./reports/21.html,2,0,0,13,0
22,https://clearview.libnet.info/events?t=Outdoor+Programs,Events - Clearview Library District,./reports/22.html,3,0,2,26,0
