Page,Title,URL,Report Link,Total Violations,Total Passes,Critical,Serious,Moderate,Minor,Severity Score
1,Events - Clearview Library District,https://clearview.libnet.info/events,./reports/1.html,3,46,42,0,19,0,206
10,Events - Clearview Library District,https://clearview.libnet.info/events?a=Teens+12-18,./reports/10.html,3,46,42,0,20,0,208
11,Events - Clearview Library District,https://clearview.libnet.info/events?a=Little+Ones+%280-5%29,./reports/11.html,3,46,42,0,14,0,196
12,Events - Clearview Library District,https://clearview.libnet.info/events?a=Families,./reports/12.html,3,46,42,0,14,0,196
13,Events - Clearview Library District,https://clearview.libnet.info/events?a=Children+6-9,./reports/13.html,3,46,42,0,14,0,196
14,Events - Clearview Library District,https://clearview.libnet.info/events?t=STEAM,./reports/14.html,3,46,42,0,14,0,196
15,Events - Clearview Library District,https://clearview.libnet.info/events?t=Community,./reports/15.html,3,46,42,0,14,0,196
16,Events - Clearview Library District,https://clearview.libnet.info/events?t=Arts+%26+Crafts,./reports/16.html,3,46,42,0,14,0,196
17,Events - Clearview Library District,https://clearview.libnet.info/events?term=,./reports/17.html,3,46,42,0,19,0,206
18,Events - Clearview Library District,https://clearview.libnet.info/events?t=Book+Club,./reports/18.html,3,46,42,0,14,0,196
19,"Sorry, page not found - Clearview Library District",https://clearview.libnet.info/location/Administrative%20Services%20Building,./reports/19.html,3,38,0,0,4,0,8
2,Events - Clearview Library District,https://clearview.libnet.info/events?,./reports/2.html,3,46,42,0,19,0,206
20,"Sorry, page not found - Clearview Library District",https://clearview.libnet.info/location/Bookmobile,./reports/20.html,3,38,0,0,4,0,8
21,"Sorry, page not found - Clearview Library District",https://clearview.libnet.info/location/Severance%20Library,./reports/21.html,3,38,0,0,4,0,8
22,"Sorry, page not found - Clearview Library District",https://clearview.libnet.info/location/Windsor%20Library,./reports/22.html,3,38,0,0,4,0,8
23,Events - Clearview Library District,https://clearview.libnet.info/events?a=Little+Ones+(0-5),./reports/23.html,3,46,42,0,14,0,196
24,Events - Clearview Library District,https://clearview.libnet.info/events?t=%255B%2522STEAM%2522%255D,./reports/24.html,3,46,42,0,14,0,196
25,Events - Clearview Library District,https://clearview.libnet.info/events?t=%255B%2522Community%2522%255D,./reports/25.html,3,46,42,0,14,0,196
26,Events - Clearview Library District,https://clearview.libnet.info/events?t=%255B%2522Arts%2520%2526%2520Crafts%2522%255D,./reports/26.html,3,46,42,0,14,0,196
27,Events - Clearview Library District,https://clearview.libnet.info/events?t=%255B%2522Book%2520Club%2522%255D,./reports/27.html,3,46,42,0,14,0,196
3,My Events - Clearview Library District,https://clearview.libnet.info/myevents,./reports/3.html,5,38,1,2,8,0,26
4,Communico,https://clearview.libnet.info/v/assets/734,./reports/4.html,4,50,2,3,1,0,19
5,Family Art Challenge - Clearview Library District,https://clearview.libnet.info/event/15612534,./reports/5.html,8,42,1,6,22,0,66
6,Teen Book Box - Clearview Library District,https://clearview.libnet.info/event/15602137,./reports/6.html,8,42,1,6,22,0,66
7,Privacy and cookie policy - Clearview Library District,https://clearview.libnet.info/privacy,./reports/7.html,3,35,0,0,17,0,34
8,"Sorry, page not found - Clearview Library District",https://clearview.libnet.info,./reports/8.html,3,38,0,0,4,0,8
9,Events - Clearview Library District,https://clearview.libnet.info/events?a=Tweens+9-12,./reports/9.html,3,46,42,0,14,0,196
