Source Page,Link,Status,Link Text
"https://clearview.libnet.info/events","https://clearview.marmot.org/MyAccount/Home",403,"My Account"
"https://clearview.libnet.info/events","https://clearview.marmot.org/MaterialsRequest/NewRequest",403,"Suggest a Purchase"
"https://clearview.libnet.info/events","https://clearview.marmot.org/",403,"Catalog"
"https://clearview.libnet.info/events","https://clearviewlibrary.org/about-us/learn-more/future-projects",403,"Future Projects"
"https://clearview.libnet.info/events","https://www.instagram.com/clearviewlibrary/",429,""
"https://clearview.libnet.info/events","https://www.cldfriends.org/",FAILED,"Friends of the Library"
"https://clearview.libnet.info/events","https://cldfriends.org/support/",FAILED,"Donate"
"https://clearview.libnet.info/events","https://www.cldfriends.org/donate",FAILED,"Donate"
"https://clearview.libnet.info/event/17341682","https://clearview.libnet.info/#facebook",404,"Facebook"
"https://clearview.libnet.info/event/17341682","https://clearview.libnet.info/#email",404,"Email"
"https://clearview.libnet.info/event/17341682","https://clearview.libnet.info/#x",404,"X"
"https://clearview.libnet.info/event/17341682","https://addtocalendar.com/atc/ical?utz=0&uln=en-US@posix&vjs=1.5&e[0][date_start]=2026-09-03%2010%3A00%3A00&e[0][date_end]=2026-09-03%2011%3A00%3A00&e[0][timezone]=America%2FDenver&e[0][title]=PAWS%20for%20Reading&e[0][description]=Dogs%20%2B%20Reading%20%3D%20Magic%0A&e[0][location]=Windsor%20Library%20-%20",FAILED,""
"https://clearview.libnet.info/event/17341682","https://addtocalendar.com/atc/google?utz=0&uln=en-US@posix&vjs=1.5&e[0][date_start]=2026-09-03%2010%3A00%3A00&e[0][date_end]=2026-09-03%2011%3A00%3A00&e[0][timezone]=America%2FDenver&e[0][title]=PAWS%20for%20Reading&e[0][description]=Dogs%20%2B%20Reading%20%3D%20Magic%0A&e[0][location]=Windsor%20Library%20-%20",FAILED,""
"https://clearview.libnet.info/event/17341682","https://addtocalendar.com/atc/outlook?utz=0&uln=en-US@posix&vjs=1.5&e[0][date_start]=2026-09-03%2010%3A00%3A00&e[0][date_end]=2026-09-03%2011%3A00%3A00&e[0][timezone]=America%2FDenver&e[0][title]=PAWS%20for%20Reading&e[0][description]=Dogs%20%2B%20Reading%20%3D%20Magic%0A&e[0][location]=Windsor%20Library%20-%20",FAILED,""
"https://clearview.libnet.info/event/17341682","https://addtocalendar.com/atc/outlookonline?utz=0&uln=en-US@posix&vjs=1.5&e[0][date_start]=2026-09-03%2010%3A00%3A00&e[0][date_end]=2026-09-03%2011%3A00%3A00&e[0][timezone]=America%2FDenver&e[0][title]=PAWS%20for%20Reading&e[0][description]=Dogs%20%2B%20Reading%20%3D%20Magic%0A&e[0][location]=Windsor%20Library%20-%20",FAILED,""
"https://clearview.libnet.info/event/17341682","https://addtocalendar.com/atc/yahoo?utz=0&uln=en-US@posix&vjs=1.5&e[0][date_start]=2026-09-03%2010%3A00%3A00&e[0][date_end]=2026-09-03%2011%3A00%3A00&e[0][timezone]=America%2FDenver&e[0][title]=PAWS%20for%20Reading&e[0][description]=Dogs%20%2B%20Reading%20%3D%20Magic%0A&e[0][location]=Windsor%20Library%20-%20",FAILED,""
"https://clearview.libnet.info/event/16790779","https://addtocalendar.com/atc/ical?utz=0&uln=en-US@posix&vjs=1.5&e[0][date_start]=2026-09-03%2014%3A30%3A00&e[0][date_end]=2026-09-03%2015%3A00%3A00&e[0][timezone]=America%2FDenver&e[0][title]=Bookmobile%20Stop%20at%20Hollister%20Lake%20Elementary%20&e[0][description]=550%20Sundance%20Dr%20-%20Windsor&e[0][location]=Bookmobile%20-%20",FAILED,""
