Page,URL,Title,Impact,Rule ID,Description,Help,Help URL,HTML Element
1,https://clearviewlibrary.org,Homepage | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
10,https://clearviewlibrary.org/borrow-research/adventure-pass,Adventure Pass | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
100,https://clearviewlibrary.org/borrow-research/research/business-legal-0?field_resource_category_target_id=18,Business & Legal | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
101,https://clearviewlibrary.org/borrow-research/research/business-legal-0?field_resource_category_target_id=19,Business & Legal | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
102,https://clearviewlibrary.org/borrow-research/research/business-legal-0?field_resource_category_target_id=16,Business & Legal | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
103,https://clearviewlibrary.org/borrow-research/research/business-legal-0?field_resource_category_target_id=23,Business & Legal | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
104,https://clearviewlibrary.org/borrow-research/research/business-legal-0?field_resource_category_target_id=25,Business & Legal | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
105,https://clearviewlibrary.org/borrow-research/research/business-legal-0?field_resource_category_target_id=24,Business & Legal | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
106,https://clearviewlibrary.org/borrow-research/research/business-legal-0?field_resource_category_target_id=21,Business & Legal | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
107,https://clearviewlibrary.org/borrow-research/research/business-legal-0?field_resource_category_target_id=26,Business & Legal | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
