Source Page,Link,Status,Link Text
"https://clearviewlibrary.org","https://clearview.marmot.org/",403,"Catalog"
"https://clearviewlibrary.org","https://clearview.marmot.org/MyAccount/Home",403,"My Account"
"https://clearviewlibrary.org","https://clearview.marmot.org/MaterialsRequest/NewRequest",403,"Suggest a Purchase"
"https://clearviewlibrary.org","https://clearview.marmot.org/Search/Results?filter%5B%5D=publishDate:[2025%20TO%20*]&filter%5B%5D=local_time_since_added%3A%222+Months%22&filter%5B%5D=literary_form_full%3A%22Fiction%22&filter%5B%5D=format_category_clearview%3A%22Books%22&filter%5B%5D=target_audience%3A%22Young+Adult%22&sort=days_since_added&searchSource=local",403,"Teen Books"
"https://clearviewlibrary.org","https://clearview.marmot.org/Union/Search?view=list&showCovers=on&lookfor=%22explore+kit%22&basicType=Keyword&searchSource=local",403,"Explore Kits"
"https://clearviewlibrary.org","https://clearview.marmot.org/Search/Results?filter%5B%5D=format_clearview%3A%22Book%22&filter%5B%5D=availability_toggle_clearview%3A%22Entire+Collection%22&filter%5B%5D=local_time_since_added_clearview%3A%222+Months%22&filter%5B%5D=publishDate:[2025%20TO%20*]&filter%5B%5D=literary_form_full%3A%22Fiction%22&filter%5B%5D=target_audience%3A%22Adult%22&sort=days_since_added&searchSource=local",403,"New Books"
"https://clearviewlibrary.org","https://www.instagram.com/clearviewlibrary/",429,""
"https://clearviewlibrary.org/about-us/learn-more/hours-locations","https://clearviewlibrary.org/about-us/learn-more/facilities-plan",403,"LEARN MORE"
"https://clearviewlibrary.org/about-us/learn-more/hours-locations","https://www.cldfriends.org/cr26",404,"Clearview Reads"
"https://clearviewlibrary.org/card","https://clearview.marmot.org/MyAccount/SelfReg",403,"Sign Up for Your Card"
"https://clearviewlibrary.org/borrow-research/books-movies-more/downloads-streaming","https://apps.apple.com/us/app/hoopla-digital/id580643740",429,""
"https://clearviewlibrary.org/borrow-research/books-movies-more/downloads-streaming","https://www.creativebug.com/lib/clearviewlibrary",403,""
"https://clearviewlibrary.org/borrow-research/books-movies-more/downloads-streaming","https://itunes.apple.com/us/app/mango-languages-library-edition/id443516516?mt=8&uo=4",429,""
