Page,URL,Title,Report Link,Total,Critical,Serious,Moderate,Minor
1,https://pika.clearviewlibrary.org/,Catalog Home | Clearview Library District,./reports/1.html,1,0,1,0,0
10,https://pika.clearviewlibrary.org/GroupedWork/5586b631-9622-a7cf-6c0d-d931e656f667/Home,All about teachers | Clearview Library District,./reports/10.html,1,1,0,0,0
11,https://pika.clearviewlibrary.org/Record/351003,"Back to school, Backpack! / | Clearview Library District",./reports/11.html,1,1,0,0,0
12,https://pika.clearviewlibrary.org/Record/28966,Book! book! book! / | Clearview Library District,./reports/12.html,1,1,0,0,0
13,https://pika.clearviewlibrary.org/Record/365302,Bright family : : too cool for school / | Clearview Library...,./reports/13.html,1,1,0,0,0
14,https://pika.clearviewlibrary.org/GroupedWork/609cec1c-2520-abd0-4253-d73aa8477299/Home,Clifford goes to kindergarten | Clearview Library District,./reports/14.html,1,1,0,0,0
15,https://pika.clearviewlibrary.org/Record/280690,The cool code / | Clearview Library District,./reports/15.html,1,1,0,0,0
16,https://pika.clearviewlibrary.org/Record/349714,The crayons go back to school / | Clearview Library District,./reports/16.html,1,1,0,0,0
17,https://pika.clearviewlibrary.org/Record/40494,Danbi leads the school parade / | Clearview Library District,./reports/17.html,1,1,0,0,0
18,https://pika.clearviewlibrary.org/Record/34356,Even monsters go to school / | Clearview Library District,./reports/18.html,1,1,0,0,0
19,https://pika.clearviewlibrary.org/Record/364422,"First day, hooray! / | Clearview Library District",./reports/19.html,1,1,0,0,0
2,https://pika.clearviewlibrary.org/MyAccount/Home,Login | Clearview Library District,./reports/2.html,0,0,0,0,0
20,https://pika.clearviewlibrary.org/GroupedWork/d3b4e136-6586-bc8d-7764-9e675d500cc8/Home,The first day of school | Clearview Library District,./reports/20.html,1,1,0,0,0
21,https://pika.clearviewlibrary.org/Record/355150,Free to learn : : how Alfredo Lopez fought for the right to...,./reports/21.html,1,1,0,0,0
22,https://pika.clearviewlibrary.org/GroupedWork/da58a77c-e139-8edc-647e-b664077beca3/Home,Grandmother school | Clearview Library District,./reports/22.html,1,1,0,0,0
23,https://pika.clearviewlibrary.org/Record/344216,The Homework Squad's ADHD guide to school success / |...,./reports/23.html,1,1,0,0,0
24,https://pika.clearviewlibrary.org/GroupedWork/ee828365-c803-7c68-b9a3-5fafd9c59dcc/Home,How do dinosaurs go to school? | Clearview Library District,./reports/24.html,1,1,0,0,0
25,https://pika.clearviewlibrary.org/Record/301537,How to get your octopus to school / | Clearview Library District,./reports/25.html,1,1,0,0,0
26,https://pika.clearviewlibrary.org/GroupedWork/5d620ab6-7ed9-c493-87b9-7a687ed88c80/Home,Isabel and her colores go to school | Clearview Library District,./reports/26.html,1,1,0,0,0
27,https://pika.clearviewlibrary.org/Record/40318,Isadora Moon goes to school / | Clearview Library District,./reports/27.html,1,1,0,0,0
28,https://pika.clearviewlibrary.org/GroupedWork/3adda223-6212-c466-f745-32b6ad3a6aa9/Home,It's the first day of school-- forever! | Clearview Library...,./reports/28.html,1,1,0,0,0
29,https://pika.clearviewlibrary.org/GroupedWork/8abe856d-3181-aca7-a193-2cd3414d3b4d/Home,The kissing hand | Clearview Library District,./reports/29.html,1,1,0,0,0
3,https://pika.clearviewlibrary.org/,Catalog Home | Clearview Library District,./reports/3.html,0,0,0,0,0
30,https://pika.clearviewlibrary.org/Record/314415,A letter from your teacher : : on the first day of school / |...,./reports/30.html,1,1,0,0,0
31,https://pika.clearviewlibrary.org/Help/AccessibilityReport,Report Accessibility Issue | Clearview Library District,./reports/31.html,0,0,0,0,0
32,https://pika.clearviewlibrary.org/MyAccount/EmailResetPin,Email to Reset Pin | Clearview Library District,./reports/32.html,0,0,0,0,0
33,https://pika.clearviewlibrary.org/MyAccount/SelfReg,Self Registration | Clearview Library District,./reports/33.html,0,0,0,0,0
34,https://pika.clearviewlibrary.org/Help/Home?topic=advsearch,,./reports/34.html,4,0,2,3,0
35,https://pika.clearviewlibrary.org/Help/Home?topic=search,,./reports/35.html,5,0,2,3,0
36,https://pika.clearviewlibrary.org/MyAccount/MyList/591?filter%5B%5D=available_at_clearview%3A%22Bookmobile%22&sort=title,Back to School 2025 | Clearview Library District,./reports/36.html,1,2,0,0,0
37,https://pika.clearviewlibrary.org/MyAccount/MyList/591?filter%5B%5D=available_at_clearview%3A%22Severance+Library%22&sort=title,Back to School 2025 | Clearview Library District,./reports/37.html,1,15,0,0,0
38,https://pika.clearviewlibrary.org/MyAccount/MyList/591?filter%5B%5D=available_at_clearview%3A%22Windsor+Library%22&sort=title,Back to School 2025 | Clearview Library District,./reports/38.html,1,20,0,0,0
39,https://pika.clearviewlibrary.org/MyAccount/MyList/591?filter%5B%5D=available_at_clearview%3A%22Online+OverDrive+Collection%22&sort=title,Back to School 2025 | Clearview Library District,./reports/39.html,1,2,0,0,0
4,https://pika.clearviewlibrary.org/Search/Advanced,Advanced Search | Clearview Library District,./reports/4.html,1,0,14,0,0
40,https://pika.clearviewlibrary.org/MyAccount/MyList/591?filter%5B%5D=format_clearview%3A%22Book%22&sort=title,Back to School 2025 | Clearview Library District,./reports/40.html,1,20,0,0,0
41,https://pika.clearviewlibrary.org/MyAccount/MyList/591?filter%5B%5D=format_clearview%3A%22eBook%22&sort=title,Back to School 2025 | Clearview Library District,./reports/41.html,1,20,0,0,0
42,https://pika.clearviewlibrary.org/MyAccount/MyList/591?filter%5B%5D=format_clearview%3A%22eAudiobook%22&sort=title,Back to School 2025 | Clearview Library District,./reports/42.html,1,10,0,0,0
43,https://pika.clearviewlibrary.org/MyAccount/MyList/591?filter%5B%5D=format_clearview%3A%22Graphic+Novel%22&sort=title,Back to School 2025 | Clearview Library District,./reports/43.html,1,2,0,0,0
44,https://pika.clearviewlibrary.org/MyAccount/MyList/591?filter%5B%5D=collection_clearview%3A%22Picture+Book%22&sort=title,Back to School 2025 | Clearview Library District,./reports/44.html,1,20,0,0,0
45,https://pika.clearviewlibrary.org/MyAccount/MyList/591?filter%5B%5D=collection_clearview%3A%22Juvenile+Non-Fiction%22&sort=title,Back to School 2025 | Clearview Library District,./reports/45.html,1,11,0,0,0
46,https://pika.clearviewlibrary.org/MyAccount/MyList/591?filter%5B%5D=collection_clearview%3A%22Juvenile+Fiction%22&sort=title,Back to School 2025 | Clearview Library District,./reports/46.html,1,6,0,0,0
47,https://pika.clearviewlibrary.org/MyAccount/MyList/591?filter%5B%5D=collection_clearview%3A%22Juvenile+Graphic+Novel+Fiction%22&sort=title,Back to School 2025 | Clearview Library District,./reports/47.html,1,3,0,0,0
48,https://pika.clearviewlibrary.org/MyAccount/MyList/591?filter%5B%5D=collection_clearview%3A%22Bin+Book%22&sort=title,Back to School 2025 | Clearview Library District,./reports/48.html,1,1,0,0,0
49,https://pika.clearviewlibrary.org/MyAccount/MyList/591?filter%5B%5D=target_audience%3A%22Juvenile%22&sort=title,Back to School 2025 | Clearview Library District,./reports/49.html,1,20,0,0,0
5,https://pika.clearviewlibrary.org/AJAX/JSON?method=getHoursAndLocations,,./reports/5.html,5,0,2,4,0
50,https://pika.clearviewlibrary.org/MyAccount/MyList/591?filter%5B%5D=literary_form_full%3A%22Fiction%22&sort=title,Back to School 2025 | Clearview Library District,./reports/50.html,1,20,0,0,0
6,https://pika.clearviewlibrary.org/MyAccount/MyList/591,Back to School 2025 | Clearview Library District,./reports/6.html,1,20,0,0,0
7,https://pika.clearviewlibrary.org/Record/351177,10 things I love about school / | Clearview Library District,./reports/7.html,1,1,0,0,0
8,https://pika.clearviewlibrary.org/GroupedWork/0f1b17c7-2512-df4a-00c8-beff83bc50b8/Home,9 kilometers | Clearview Library District,./reports/8.html,1,1,0,0,0
9,https://pika.clearviewlibrary.org/GroupedWork/0d302c11-cf41-f33c-2c47-4281c3a87558/Home,All about bus drivers | Clearview Library District,./reports/9.html,1,1,0,0,0
