Source Page,Link,Status,Link Text
"https://urbanafreelibrary.libnet.info/events","https://urbanafreelibrary.org/events/150-years",403,"150th Anniversary"
"https://urbanafreelibrary.libnet.info/events","https://urbanafreelibrary.org/ebooks-more/music",403,"Music"
"https://urbanafreelibrary.libnet.info/events","https://urbanafreelibrary.org/about/cafe-book-shop",404,""
"https://urbanafreelibrary.libnet.info/events","https://twitter.com/search?f=tweets&vertical=default&q=urbanafree",403,""
"https://urbanafreelibrary.libnet.info/events","https://urbanafreelibrary.org/using-library/get-card",403,"Get a Card"
"https://urbanafreelibrary.libnet.info/events","https://urbanafreelibrary.org/using-library/borrow-return/borrow",404,"Borrow Items"
"https://urbanafreelibrary.libnet.info/events","https://app.etapestry.com/onlineforms/UrbanaFreeLibraryFoundation/donation.html",404,"Donate"
"https://urbanafreelibrary.libnet.info/event/13875993","https://addtocalendar.com/atc/ical?utz=0&uln=en-US@posix&vjs=1.5&e[0][date_start]=2026-09-03%2010%3A15%3A00&e[0][date_end]=2026-09-03%2010%3A45%3A00&e[0][timezone]=America%2FChicago&e[0][title]=Crafty%20Tales&e[0][location]=The%20Urbana%20Free%20Library%20-%20The%20Lewis%20Auditorium",FAILED,""
"https://urbanafreelibrary.libnet.info/event/13875993","https://addtocalendar.com/atc/google?utz=0&uln=en-US@posix&vjs=1.5&e[0][date_start]=2026-09-03%2010%3A15%3A00&e[0][date_end]=2026-09-03%2010%3A45%3A00&e[0][timezone]=America%2FChicago&e[0][title]=Crafty%20Tales&e[0][location]=The%20Urbana%20Free%20Library%20-%20The%20Lewis%20Auditorium",FAILED,""
"https://urbanafreelibrary.libnet.info/event/13875993","https://addtocalendar.com/atc/outlook?utz=0&uln=en-US@posix&vjs=1.5&e[0][date_start]=2026-09-03%2010%3A15%3A00&e[0][date_end]=2026-09-03%2010%3A45%3A00&e[0][timezone]=America%2FChicago&e[0][title]=Crafty%20Tales&e[0][location]=The%20Urbana%20Free%20Library%20-%20The%20Lewis%20Auditorium",FAILED,""
"https://urbanafreelibrary.libnet.info/event/13875993","https://addtocalendar.com/atc/outlookonline?utz=0&uln=en-US@posix&vjs=1.5&e[0][date_start]=2026-09-03%2010%3A15%3A00&e[0][date_end]=2026-09-03%2010%3A45%3A00&e[0][timezone]=America%2FChicago&e[0][title]=Crafty%20Tales&e[0][location]=The%20Urbana%20Free%20Library%20-%20The%20Lewis%20Auditorium",FAILED,""
"https://urbanafreelibrary.libnet.info/event/13875993","https://addtocalendar.com/atc/yahoo?utz=0&uln=en-US@posix&vjs=1.5&e[0][date_start]=2026-09-03%2010%3A15%3A00&e[0][date_end]=2026-09-03%2010%3A45%3A00&e[0][timezone]=America%2FChicago&e[0][title]=Crafty%20Tales&e[0][location]=The%20Urbana%20Free%20Library%20-%20The%20Lewis%20Auditorium",FAILED,""
"https://urbanafreelibrary.libnet.info/event/17264225","https://addtocalendar.com/atc/ical?utz=0&uln=en-US@posix&vjs=1.5&e[0][date_start]=2026-09-03%2015%3A00%3A00&e[0][date_end]=2026-09-03%2017%3A30%3A00&e[0][timezone]=America%2FChicago&e[0][title]=Teen%20Open%20Lab&e[0][location]=The%20Urbana%20Free%20Library%20-%20The%20Lewis%20Auditorium",FAILED,""
"https://urbanafreelibrary.libnet.info/event/17264225","https://addtocalendar.com/atc/google?utz=0&uln=en-US@posix&vjs=1.5&e[0][date_start]=2026-09-03%2015%3A00%3A00&e[0][date_end]=2026-09-03%2017%3A30%3A00&e[0][timezone]=America%2FChicago&e[0][title]=Teen%20Open%20Lab&e[0][location]=The%20Urbana%20Free%20Library%20-%20The%20Lewis%20Auditorium",FAILED,""
"https://urbanafreelibrary.libnet.info/event/17264225","https://addtocalendar.com/atc/outlook?utz=0&uln=en-US@posix&vjs=1.5&e[0][date_start]=2026-09-03%2015%3A00%3A00&e[0][date_end]=2026-09-03%2017%3A30%3A00&e[0][timezone]=America%2FChicago&e[0][title]=Teen%20Open%20Lab&e[0][location]=The%20Urbana%20Free%20Library%20-%20The%20Lewis%20Auditorium",FAILED,""
