Page,URL,Title,Impact,Rule ID,Description,Help,Help URL,HTML Element
1,https://urbanafreelibrary.libnet.info/events,Events - Urbana Free Library,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<a href=""https://tufl.m-pages.com/heDaPP/the-urbana-free-library-newsletter-sign-up"">Newsletter</a>"
1,https://urbanafreelibrary.libnet.info/events,Events - Urbana Free Library,serious,color-contrast,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI,"<td class=""new day"" data-date=""1791590400000"" role=""button"" tabindex=""-1"" aria-pressed=""false"" aria-label=""Saturday, October 10, 2026"">10</td>"
1,https://urbanafreelibrary.libnet.info/events,Events - Urbana Free Library,moderate,heading-order,Ensure the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI,<h3>Main Library</h3>
1,https://urbanafreelibrary.libnet.info/events,Events - Urbana Free Library,critical,input-image-alt,"Ensure <input type=""image""> elements have alternative text",Image buttons must have alternative text,https://dequeuniversity.com/rules/axe/4.10/input-image-alt?application=axeAPI,"<input alt="""" class=""custom-search-button image-button js-form-submit form-submit"" data-drupal-selector=""edit-submit"" type=""image"" id=""edit-submit"" src=""/themes/custom/ufl/assets/images/search.svg"">"
1,https://urbanafreelibrary.libnet.info/events,Events - Urbana Free Library,serious,label-title-only,"Ensure that every form element has a visible label and is not solely labeled using hidden labels, or the title or aria-describedby attributes",Form elements should have a visible label,https://dequeuniversity.com/rules/axe/4.10/label-title-only?application=axeAPI,"<input title=""Enter the terms you wish to search for."" class=""custom_search-keys form-search"" data-drupal-selector=""edit-keys"" type=""search"" id=""edit-keys"" name=""keys"" value="""" size=""15"" maxlength=""128"" placeholder=""Search"">"
1,https://urbanafreelibrary.libnet.info/events,Events - Urbana Free Library,moderate,landmark-banner-is-top-level,Ensure the banner landmark is at top level,Banner landmark should not be contained in another landmark,https://dequeuniversity.com/rules/axe/4.10/landmark-banner-is-top-level?application=axeAPI,"<header id=""page-header"" role=""banner"">"
1,https://urbanafreelibrary.libnet.info/events,Events - Urbana Free Library,moderate,landmark-contentinfo-is-top-level,Ensure the contentinfo landmark is at top level,Contentinfo landmark should not be contained in another landmark,https://dequeuniversity.com/rules/axe/4.10/landmark-contentinfo-is-top-level?application=axeAPI,"<footer role=""contentinfo"" id=""page-footer"" class=""full-width"">"
1,https://urbanafreelibrary.libnet.info/events,Events - Urbana Free Library,moderate,landmark-main-is-top-level,Ensure the main landmark is at top level,Main landmark should not be contained in another landmark,https://dequeuniversity.com/rules/axe/4.10/landmark-main-is-top-level?application=axeAPI,"<main id=""events-main"" class=""events bodysize content events-holder"" aria-label=""Events"">"
1,https://urbanafreelibrary.libnet.info/events,Events - Urbana Free Library,moderate,landmark-no-duplicate-banner,Ensure the document has at most one banner landmark,Document should not have more than one banner landmark,https://dequeuniversity.com/rules/axe/4.10/landmark-no-duplicate-banner?application=axeAPI,<header>
1,https://urbanafreelibrary.libnet.info/events,Events - Urbana Free Library,moderate,landmark-no-duplicate-contentinfo,Ensure the document has at most one contentinfo landmark,Document should not have more than one contentinfo landmark,https://dequeuniversity.com/rules/axe/4.10/landmark-no-duplicate-contentinfo?application=axeAPI,<footer>
