Source Page,Link,Status,Link Text
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2633825",404,"Protein-packed vegetarian : easy, nourishing re..."
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2633849",404,"The divine gardener's handbook : or What to do ..."
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2640055",404,"Scion"
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2640084",404,"The barman of the Ritz: a novel"
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2647264",404,"Something like desire"
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2652303",404,"He who fights with monsters"
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2640348",404,"Promised land : a novel"
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2639995",404,"She's a doll"
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2642874",404,"I hope this email finds you in hell"
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2644257",404,"Mark Twain for book lovers : on reading, writin..."
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2640354",404,"Murder on Charity Lane"
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2634018",404,"Maisy Bell is missing"
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2640054",404,"The knave and the moon"
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2646487",404,"Last day : how to stop losing our loved ones to..."
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2635153",404,"Before you were Anne"
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2640100",404,"Days of miracle and wonder : Paul Simon and the..."
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2633898",404,"My sister is going to kill me : a novel"
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2648948",404,"The two of us at the end of the world"
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2638613",404,"Children of wolves : a novel"
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2633913",404,"How to find a romance in a bookshop : a novel"
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2634332",404,"The disappearers"
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2635141",404,"The Oxford guide to scandal and lies : a novel"
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2633958",404,"The Blue Moon Café & 24-Hour Occult Emporium : ..."
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2633603",404,"The sleeping sisters : a novel"
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2638537",404,"Seasons of fury : four families and the rise of..."
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2638585",404,"Night songs : a novel"
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2633924",404,"Tapeworm"
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2642921",404,"What they did : a novel"
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2634342",404,"Agrippa"
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2638906",404,"The three Graces of Pearl Street"
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2634052",404,"And the sea gave up the dead : a novel"
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2644263",404,"Searching for Jane Crow : Black women and mass ..."
"https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5","https://cucatalog.org/polaris/view.aspx?CN=2642931",404,"My person : a novel"
