Page,Title,URL,Report Link,Total Violations,Total Passes,Critical,Serious,Moderate,Minor,Severity Score
1,The Urbana Free Library,https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.5,./reports/1.html,9,48,16,17,9,0,133
10,The Urbana Free Library,https://cucatalog.org/polaris/search/default.aspx?ctx=6.1033.0.0.1&type=Advanced,./reports/10.html,11,47,9,10,9,0,84
11,The Urbana Free Library,https://cucatalog.org/polaris/search/default.aspx?ctx=6.1033.0.0.1&type=Boolean,./reports/11.html,11,45,9,10,9,0,84
12,The Urbana Free Library,https://cucatalog.org/polaris/patronaccount/default.aspx?ctx=6.1033.0.0.1,./reports/12.html,10,45,8,11,9,0,83
13,The Urbana Free Library,https://cucatalog.org/polaris/patronaccount/itemsout.aspx?ctx=6.1033.0.0.1,./reports/13.html,10,45,8,11,9,0,83
14,The Urbana Free Library,https://cucatalog.org/polaris/patronaccount/requests.aspx?ctx=6.1033.0.0.1,./reports/14.html,10,45,8,11,9,0,83
15,The Urbana Free Library,https://cucatalog.org/polaris/patronaccount/finesfees.aspx?ctx=6.1033.0.0.1,./reports/15.html,10,45,8,11,9,0,83
16,The Urbana Free Library,https://cucatalog.org/polaris/patronaccount/searchagent.aspx?ctx=6.1033.0.0.1,./reports/16.html,10,45,8,11,9,0,83
17,The Urbana Free Library,https://cucatalog.org/polaris/search/titlelist.aspx?ctx=6.1033.0.0.1,./reports/17.html,8,41,0,2,9,0,24
18,The Urbana Free Library,https://cucatalog.org/polaris/logon.aspx?ctx=6.1033.0.0.1&Header=1,./reports/18.html,10,45,8,11,9,0,83
19,The Urbana Free Library,https://cucatalog.org/polaris/help/default.aspx?Header=1,./reports/19.html,9,39,8,9,9,0,77
2,The Urbana Free Library,https://cucatalog.org/polaris/logon.aspx?header=1,./reports/2.html,10,45,8,11,9,0,83
20,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2633849,./reports/20.html,15,47,14,29,9,0,161
21,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2633825,./reports/21.html,15,47,14,29,9,0,161
22,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2652303,./reports/22.html,15,47,14,37,9,0,185
23,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2640348,./reports/23.html,15,47,14,29,9,0,161
24,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2639995,./reports/24.html,15,47,14,29,9,0,161
25,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2640055,./reports/25.html,15,47,14,29,9,0,161
26,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2640084,./reports/26.html,15,47,14,29,9,0,161
27,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2647264,./reports/27.html,15,47,14,29,9,0,161
28,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2642874,./reports/28.html,15,47,14,29,9,0,161
29,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2644257,./reports/29.html,15,47,14,29,9,0,161
3,The Urbana Free Library,https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.1&lp=1,./reports/3.html,9,48,16,17,9,0,133
30,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2635153,./reports/30.html,15,47,14,29,9,0,161
31,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2646487,./reports/31.html,15,47,14,29,9,0,161
32,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2634018,./reports/32.html,15,47,14,37,9,0,185
33,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2640054,./reports/33.html,15,47,14,37,9,0,185
34,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2640354,./reports/34.html,15,47,14,37,9,0,185
35,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2633898,./reports/35.html,15,47,14,29,9,0,161
36,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2640100,./reports/36.html,15,47,14,29,9,0,161
37,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2648948,./reports/37.html,15,47,14,29,9,0,161
38,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2638613,./reports/38.html,15,47,14,29,9,0,161
39,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2633913,./reports/39.html,15,47,14,29,9,0,161
4,The Urbana Free Library,https://cucatalog.org/polaris/default.aspx?ctx=6.1033.0.0.1,./reports/4.html,9,48,16,17,9,0,133
40,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2634332,./reports/40.html,15,47,14,29,9,0,161
41,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2635141,./reports/41.html,15,47,14,37,9,0,185
42,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2633958,./reports/42.html,15,47,14,29,9,0,161
43,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2638585,./reports/43.html,15,47,14,29,9,0,161
44,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2633603,./reports/44.html,15,47,14,29,9,0,161
45,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2642921,./reports/45.html,15,47,14,29,9,0,161
46,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2633924,./reports/46.html,15,47,14,29,9,0,161
47,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2638537,./reports/47.html,15,47,14,29,9,0,161
48,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2634342,./reports/48.html,15,47,14,29,9,0,161
49,The Urbana Free Library,https://cucatalog.org/polaris/view.aspx?CN=2638906,./reports/49.html,15,47,14,29,9,0,161
