Page,Title,URL,Report Link,Total Violations,Total Passes,Critical,Serious,Moderate,Minor,Severity Score
"1","Homepage | Amigos Library Services","https://amigos.org","./reports/1.html","0","44","0","0","0","0","0"
"10","Amigos Library Services Resource Sharing | Amigos Library Services","https://amigos.org/services/resource-sharing","./reports/10.html","0","46","0","0","0","0","0"
"2","Contact Us | Amigos Library Services","https://amigos.org/contact","./reports/2.html","0","49","0","0","0","0","0"
"3","Joining Amigos Library Services | Amigos Library Services","https://amigos.org/membership/how-to-join","./reports/3.html","0","50","0","0","0","0","0"
"4","Services | Amigos Library Services","https://amigos.org/services","./reports/4.html","0","44","0","0","0","0","0"
"5","Continuing Education Services | Amigos Library Services","https://amigos.org/services/continuing-education","./reports/5.html","0","48","0","0","0","0","0"
"6","Trans-Amigos Express | Amigos Library Services","https://amigos.org/services/trans-amigos-express","./reports/6.html","0","46","0","0","0","0","0"
"7","Job Bank | Amigos Library Services","https://amigos.org/services/job-bank","./reports/7.html","0","48","0","0","0","0","0"
"8","Member Discount Services | Amigos Library Services","https://amigos.org/services/member-discounts","./reports/8.html","0","46","0","0","0","0","0"
"9","Amigos Online Conferences | Amigos Library Services","https://amigos.org/services/online-conference","./reports/9.html","0","46","0","0","0","0","0"
